Employee No.,Gender,Education,Education Field,Job Role,Department,Age group,Work Location,Attrition,Attrition Date,Attrition Label,Dynamic Date,Age,Attrition,Avg. Satisfaction Score,Employee Count,Environment Satisfaction,Attrition Count,Job Involvement,Job Satisfaction,Monthly Income,Percent Salary Hike,Performance Rating,Placeholder,Relationship Satisfaction,Work Life Balance
E_1,Female,Associates Degree,Life Sciences,Sales Executive,Sales,35-44,Banglore,Yes,4/30/2022,Attrited Employees,4/1/2022,41,1,2.2,1,2,1,3,4,5993,11,3,0,1,1
E_2,Male,High School,Life Sciences,Research Scientist,R & D,45-55,Hydrabad,No,,Current Employees,,49,0,2.8,1,3,,2,2,5130,23,4,0,4,3
E_4,Male,Associates Degree,Other,Laboratory Technician,R & D,35-44,Noida,Yes,5/3/2022,Attrited Employees,5/1/2022,37,1,2.8,1,4,1,2,3,2090,15,3,0,2,3
E_5,Female,Master's Degree,Life Sciences,Research Scientist,R & D,25-34,Pune,No,,Current Employees,,33,0,3.2,1,4,,3,3,2909,11,3,0,3,3
E_7,Male,High School,Medical,Laboratory Technician,R & D,25-34,Mumbai,No,,Current Employees,,27,0,2.6,1,1,,3,2,3468,12,3,0,4,3
E_8,Male,Associates Degree,Life Sciences,Laboratory Technician,R & D,25-34,Delhi,No,,Current Employees,,32,0,3.2,1,4,,3,4,3068,13,3,0,3,2
E_10,Female,Bachelor's Degree,Medical,Laboratory Technician,R & D,> 55,Banglore,No,,Current Employees,,59,0,2.2,1,3,,4,1,2670,20,4,0,1,2
E_11,Male,High School,Life Sciences,Laboratory Technician,R & D,25-34,Hydrabad,No,,Current Employees,,30,0,3,1,4,,3,3,2693,22,4,0,2,3
E_12,Male,Bachelor's Degree,Life Sciences,Manufacturing Director,R & D,35-44,Mumbai,No,,Current Employees,,38,0,2.8,1,4,,2,3,9526,21,4,0,2,3
E_13,Male,Bachelor's Degree,Medical,Healthcare Representative,R & D,35-44,Delhi,No,,Current Employees,,36,0,2.6,1,3,,3,3,5237,13,3,0,2,2
E_14,Male,Bachelor's Degree,Medical,Laboratory Technician,R & D,35-44,Banglore,No,,Current Employees,,35,0,2.6,1,1,,4,2,2426,13,3,0,3,3
E_15,Female,Associates Degree,Life Sciences,Laboratory Technician,R & D,25-34,Hydrabad,No,,Current Employees,,29,0,3.2,1,4,,2,3,4193,12,3,0,4,3
E_16,Male,High School,Life Sciences,Research Scientist,R & D,25-34,Mumbai,No,,Current Employees,,31,0,2.6,1,1,,3,3,2911,17,3,0,4,2
E_18,Male,Associates Degree,Medical,Laboratory Technician,R & D,25-34,Delhi,No,,Current Employees,,34,0,3,1,2,,3,4,2661,11,3,0,3,3
E_19,Male,Bachelor's Degree,Life Sciences,Laboratory Technician,R & D,25-34,Banglore,Yes,7/5/2021,Attrited Employees,7/1/2021,28,1,2.6,1,3,1,2,3,2028,14,3,0,2,3
E_20,Female,Master's Degree,Life Sciences,Manufacturing Director,R & D,25-34,Pune,No,,Current Employees,,29,0,2.6,1,2,,4,1,9980,11,3,0,3,3
E_21,Male,Associates Degree,Life Sciences,Research Scientist,R & D,25-34,Mumbai,No,,Current Employees,,32,0,2.6,1,1,,4,2,3298,12,3,0,4,2
E_22,Male,Associates Degree,Medical,Laboratory Technician,R & D,< 25,Delhi,No,,Current Employees,,22,0,3.2,1,4,,4,4,2935,13,3,0,2,2
E_23,Female,Master's Degree,Life Sciences,Manager,Sales,45-55,Banglore,No,,Current Employees,,53,0,2.6,1,1,,2,4,15427,16,3,0,3,3
E_24,Male,Bachelor's Degree,Life Sciences,Research Scientist,R & D,35-44,Hydrabad,No,,Current Employees,,38,0,3.4,1,4,,3,4,3944,11,3,0,3,3
E_26,Female,Associates Degree,Other,Manufacturing Director,R & D,< 25,Banglore,No,,Current Employees,,24,0,2.8,1,1,,4,3,4011,18,3,0,4,2
E_27,Male,Master's Degree,Life Sciences,Sales Representative,Sales,35-44,Banglore,Yes,1/16/2022,Attrited Employees,1/1/2022,36,1,2.2,1,3,1,2,1,3407,23,4,0,2,3
E_28,Female,Master's Degree,Life Sciences,Research Director,R & D,25-34,Banglore,No,,Current Employees,,34,0,2.4,1,1,,3,2,11994,11,3,0,3,3
E_30,Male,Associates Degree,Life Sciences,Research Scientist,R & D,< 25,Banglore,No,,Current Employees,,21,0,3.4,1,3,,3,4,1232,14,3,0,4,3
